SNID: 2018oh
RA: 136.66475
DECL: 19.33827

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     DQ     MAGERR OBJTYPE
OBS: 58172.166610 V 157515.78010 1265.15138 14.50669 0.00872 0 0x00000001 0x0000
OBS: 58172.168290 B 131767.63894 1295.34626 14.70048 0.01068 0 0x00000001 0x0000
OBS: 58174.198920 r 120870.12956 907.12816 14.79420 0.00815 0 0x00000001 0x0000
OBS: 58174.199910 i 53170.53872 434.65173 15.68582 0.00888 0 0x00000001 0x0000
OBS: 58174.200900 g 137770.16258 1189.34449 14.65211 0.00938 0 0x00000001 0x0000
OBS: 58174.203560 V 142192.20005 1269.93589 14.61781 0.00970 0 0x00000001 0x0000
OBS: 58174.205220 B 113090.49389 1277.02958 14.86643 0.01226 0 0x00000001 0x0000
OBS: 58175.207250 B 102531.64547 1247.39670 14.97286 0.01321 0 0x00000001 0x0000
OBS: 58175.208430 V 130555.07390 1272.86084 14.71052 0.01059 0 0x00000001 0x0000
OBS: 58175.211610 g 121257.46206 1128.53978 14.79073 0.01011 0 0x00000001 0x0000
OBS: 58175.212880 i 45826.74074 446.36696 15.84720 0.01058 0 0x00000001 0x0000
OBS: 58175.213890 r 105668.35668 873.72733 14.94014 0.00898 0 0x00000001 0x0000
OBS: 58176.217820 r 98237.14380 1044.33765 15.01931 0.01155 0 0x00000001 0x0000
OBS: 58176.219580 i 43141.04006 619.49611 15.91277 0.01559 0 0x00000001 0x0000
OBS: 58176.220880 g 111819.51831 1286.34704 14.87871 0.01249 0 0x00000001 0x0000
OBS: 58176.223800 V 121284.80858 1476.88968 14.79048 0.01322 0 0x00000001 0x0000
OBS: 58176.224790 B 94517.91172 1413.77352 15.06121 0.01624 0 0x00000001 0x0000
OBS: 58185.105980 r 84446.79648 670.78019 15.18354 0.00863 0 0x00000001 0x0000
OBS: 58185.106980 i 49613.17479 452.33694 15.76101 0.00990 0 0x00000001 0x0000
OBS: 58185.108240 g 58795.29836 514.90400 15.57664 0.00951 0 0x00000001 0x0000
OBS: 58185.111600 V 81078.05376 778.33158 15.22774 0.01043 0 0x00000001 0x0000
OBS: 58185.112640 B 40388.82241 528.91853 15.98435 0.01422 0 0x00000001 0x0000
OBS: 58186.115050 r 81925.26368 634.99477 15.21646 0.00842 0 0x00000001 0x0000
OBS: 58186.116080 i 49215.90467 424.68954 15.76974 0.00937 0 0x00000001 0x0000
OBS: 58186.117300 g 53445.09126 467.88370 15.68023 0.00951 0 0x00000001 0x0000
OBS: 58186.119970 V 75544.65862 709.49115 15.30449 0.01020 0 0x00000001 0x0000
OBS: 58186.121000 B 34865.02182 454.05921 16.14403 0.01414 0 0x00000001 0x0000
OBS: 58189.179140 B 27393.43413 412.80865 16.40588 0.01637 0 0x00000001 0x0000
OBS: 58189.180190 V 63893.48095 602.17911 15.48636 0.01024 0 0x00000001 0x0000
OBS: 58189.183020 g 41712.17340 377.68314 15.94934 0.00983 0 0x00000001 0x0000
OBS: 58189.184020 i 50876.43417 439.67608 15.73371 0.00939 0 0x00000001 0x0000
OBS: 58189.185130 r 78182.43876 580.00111 15.26723 0.00806 0 0x00000001 0x0000
OBS: 58190.073080 B 25860.97581 419.92779 16.46839 0.01763 0 0x00000001 0x0000
OBS: 58190.074260 V 64452.09126 655.62001 15.47691 0.01105 0 0x00000001 0x0000
OBS: 58190.077090 g 41104.63234 423.98972 15.96527 0.01120 0 0x00000001 0x0000
OBS: 58190.078240 i 55398.26246 524.21858 15.64126 0.01028 0 0x00000001 0x0000
OBS: 58190.079290 r 74883.91084 605.97524 15.31403 0.00879 0 0x00000001 0x0000
OBS: 58191.096080 B 25054.75558 372.92659 16.50277 0.01616 0 0x00000001 0x0000
OBS: 58191.097790 V 59637.04419 591.80381 15.56121 0.01078 0 0x00000001 0x0000
OBS: 58191.100740 g 36493.85567 333.31314 16.09445 0.00992 0 0x00000001 0x0000
OBS: 58191.101750 i 54332.59946 432.03591 15.66235 0.00864 0 0x00000001 0x0000
OBS: 58191.102740 r 73433.94687 567.58989 15.33526 0.00839 0 0x00000001 0x0000
OBS: 58192.082740 r 72219.36286 589.25645 15.35337 0.00886 0 0x00000001 0x0000
OBS: 58192.083810 i 55207.17407 470.16682 15.64501 0.00925 0 0x00000001 0x0000
OBS: 58192.084830 g 34386.06255 320.05675 16.15904 0.01011 0 0x00000001 0x0000
OBS: 58192.087880 V 57568.89303 600.26673 15.59953 0.01132 0 0x00000001 0x0000
OBS: 58192.115780 B 23092.09713 378.35030 16.59134 0.01779 0 0x00000001 0x0000
OBS: 58193.097380 r 68488.29314 542.20758 15.41096 0.00860 0 0x00000001 0x0000
OBS: 58193.098530 i 56420.07364 462.26799 15.62142 0.00890 0 0x00000001 0x0000
OBS: 58193.099760 g 32700.38524 320.22649 16.21362 0.01063 0 0x00000001 0x0000
OBS: 58193.103260 V 53863.97964 583.28701 15.67175 0.01176 0 0x00000001 0x0000
OBS: 58193.104250 B 21885.86650 332.32156 16.64959 0.01649 0 0x00000001 0x0000
OBS: 58194.083750 B 19878.56704 323.25583 16.75404 0.01766 0 0x00000001 0x0000
OBS: 58194.084800 V 49274.63271 525.44806 15.76844 0.01158 0 0x00000001 0x0000
OBS: 58194.088040 g 29802.94872 306.92048 16.31435 0.01118 0 0x00000001 0x0000
OBS: 58194.089040 i 55345.74866 478.66828 15.64229 0.00939 0 0x00000001 0x0000
OBS: 58194.090210 r 66851.69207 530.88976 15.43722 0.00862 0 0x00000001 0x0000
